2021:01/20/21:00:14,200
2021:01/20/21:00:14,250
2021:01/20/21:00:14,212
2021:01/20/21:00:22,200
2021:01/20/21:00:23,200
2021:01/20/21:00:23,250
2021:01/20/21:00:23,212
2021:01/20/21:00:23,213
2021:01/20/21:12:36,Flow: 200, IMEI: 23469783900012222, Battery: 3.8
2021:01/22/21:55:51,Flow: 1583, IMEI: 864287039914179, Battery: 79.0
2021:01/22/21:55:51,Flow: 1625, IMEI: 864287039914179, Battery: 79.0
2021:01/22/21:55:51,Flow: 1666, IMEI: 864287039914179, Battery: 79.0
2021:01/22/21:55:51,Flow: 1708, IMEI: 864287039914179, Battery: 79.0
2021:01/22/21:56:04,Flow: 1750, IMEI: 864287039914179, Battery: 78.0
2021:01/22/21:56:04,Flow: 1791, IMEI: 864287039914179, Battery: 76.0
2021:01/22/21:56:04,Flow: 1833, IMEI: 864287039914179, Battery: 78.0
2021:01/22/21:56:04,Flow: 1875, IMEI: 864287039914179, Battery: 78.0
2021:01/22/21:56:04,Flow: 1916, IMEI: 864287039914179, Battery: 78.0
2021:01/22/21:56:04,Flow: 1958, IMEI: 864287039914179, Battery: 79.0
2021:01/22/21:56:04,Flow: 1999, IMEI: 864287039914179, Battery: 79.0
2021:01/22/21:56:33,Flow: 2041, IMEI: 864287039914179, Battery: 76.0
2021:01/22/21:56:33,Flow: 2083, IMEI: 864287039914179, Battery: 78.0
2021:01/22/21:56:33,Flow: 2124, IMEI: 864287039914179, Battery: 79.0
2021:01/22/21:56:33,Flow: 2166, IMEI: 864287039914179, Battery: 79.0
2021:01/22/21:56:33,Flow: 2208, IMEI: 864287039914179, Battery: 79.0
2021:01/22/21:56:33,Flow: 2249, IMEI: 864287039914179, Battery: 79.0
2021:01/22/21:00:36,Flow: 330, IMEI: 864287039914179, Battery: 79.0
2021:01/22/21:00:36,Flow: 330, IMEI: 864287039914179, Battery: 78.0
2021:01/22/21:00:36,Flow: 330, IMEI: 864287039914179, Battery: 79.0
2021:01/22/21:00:36,Flow: 330, IMEI: 864287039914179, Battery: 78.0
2021:01/22/21:00:36,Flow: 330, IMEI: 864287039914179, Battery: 79.0
2021:01/22/21:01:07,Flow: 330, IMEI: 864287039914179, Battery: 78.0
2021:01/22/21:01:07,Flow: 330, IMEI: 864287039914179, Battery: 77.0
2021:01/22/21:01:07,Flow: 330, IMEI: 864287039914179, Battery: 78.0
2021:01/22/21:01:07,Flow: 330, IMEI: 864287039914179, Battery: 78.0
2021:01/22/21:01:07,Flow: 330, IMEI: 864287039914179, Battery: 79.0
2021:01/22/21:01:07,Flow: 330, IMEI: 864287039914179, Battery: 79.0
2021:01/22/21:01:37,Flow: 330, IMEI: 864287039914179, Battery: 78.0
2021:01/22/21:01:37,Flow: 330, IMEI: 864287039914179, Battery: 78.0
2021:01/22/21:01:37,Flow: 330, IMEI: 864287039914179, Battery: 78.0
2021:01/22/21:01:37,Flow: 330, IMEI: 864287039914179, Battery: 79.0
2021:01/22/21:01:37,Flow: 330, IMEI: 864287039914179, Battery: 78.0
2021:01/22/21:01:37,Flow: 330, IMEI: 864287039914179, Battery: 78.0
2021:01/22/21:02:08,Flow: 330, IMEI: 864287039914179, Battery: 78.0
2021:01/22/21:02:08,Flow: 330, IMEI: 864287039914179, Battery: 78.0
2021:01/22/21:02:08,Flow: 330, IMEI: 864287039914179, Battery: 79.0
2021:01/22/21:02:08,Flow: 330, IMEI: 864287039914179, Battery: 79.0
2021:01/22/21:02:08,Flow: 330, IMEI: 864287039914179, Battery: 79.0
2021:01/22/21:02:08,Flow: 330, IMEI: 864287039914179, Battery: 79.0
2021:01/22/21:03:06,Flow: 257, IMEI: 864287039914179, Battery: 79.0
2021:01/22/21:03:06,Flow: 299, IMEI: 864287039914179, Battery: 78.0
2021:01/22/21:03:06,Flow: 323, IMEI: 864287039914179, Battery: 78.0
2021:01/22/21:03:06,Flow: 308, IMEI: 864287039914179, Battery: 78.0
2021:01/22/21:03:06,Flow: 280, IMEI: 864287039914179, Battery: 78.0
2021:01/22/21:03:38,Flow: 322, IMEI: 864287039914179, Battery: 78.0
2021:01/22/21:03:38,Flow: 294, IMEI: 864287039914179, Battery: 78.0
2021:01/22/21:03:38,Flow: 328, IMEI: 864287039914179, Battery: 78.0
2021:01/22/21:03:38,Flow: 273, IMEI: 864287039914179, Battery: 79.0
2021:01/22/21:03:38,Flow: 259, IMEI: 864287039914179, Battery: 79.0
2021:01/22/21:03:38,Flow: 290, IMEI: 864287039914179, Battery: 79.0
2021:01/22/21:04:07,Flow: 315, IMEI: 864287039914179, Battery: 78.0
2021:01/22/21:04:07,Flow: 342, IMEI: 864287039914179, Battery: 76.0
2021:01/22/21:04:07,Flow: 292, IMEI: 864287039914179, Battery: 78.0
2021:01/22/21:04:07,Flow: 337, IMEI: 864287039914179, Battery: 78.0
2021:01/22/21:04:07,Flow: 253, IMEI: 864287039914179, Battery: 78.0
2021:01/22/21:04:07,Flow: 277, IMEI: 864287039914179, Battery: 78.0
2021:01/22/21:06:31,Flow: 283, IMEI: 864287039914179, Battery: 78.0
2021:01/22/21:06:31,Flow: 329, IMEI: 864287039914179, Battery: 78.0
2021:01/22/21:06:31,Flow: 299, IMEI: 864287039914179, Battery: 79.0
2021:01/22/21:06:31,Flow: 329, IMEI: 864287039914179, Battery: 79.0
2021:01/22/21:06:31,Flow: 271, IMEI: 864287039914179, Battery: 79.0
2021:01/22/21:06:31,Flow: 317, IMEI: 864287039914179, Battery: 79.0
2021:01/22/21:06:37,Flow: 322, IMEI: 864287039914179, Battery: 78.0
2021:01/22/21:06:37,Flow: 343, IMEI: 864287039914179, Battery: 78.0
2021:01/22/21:06:37,Flow: 286, IMEI: 864287039914179, Battery: 78.0
2021:01/22/21:06:37,Flow: 335, IMEI: 864287039914179, Battery: 79.0
2021:01/22/21:06:37,Flow: 295, IMEI: 864287039914179, Battery: 78.0
2021:01/22/21:06:37,Flow: 278, IMEI: 864287039914179, Battery: 79.0
2021:01/22/21:07:08,Flow: 341, IMEI: 864287039914179, Battery: 78.0
2021:01/22/21:07:08,Flow: 344, IMEI: 864287039914179, Battery: 78.0
2021:01/22/21:07:08,Flow: 307, IMEI: 864287039914179, Battery: 78.0
2021:01/22/21:07:08,Flow: 251, IMEI: 864287039914179, Battery: 78.0
2021:01/22/21:07:08,Flow: 303, IMEI: 864287039914179, Battery: 79.0
2021:01/22/21:07:08,Flow: 258, IMEI: 864287039914179, Battery: 79.0
2021:01/22/21:07:08,Flow: 294, IMEI: 864287039914179, Battery: 78.0
2021:01/22/21:07:37,Flow: 318, IMEI: 864287039914179, Battery: 78.0
2021:01/22/21:07:37,Flow: 340, IMEI: 864287039914179, Battery: 78.0
2021:01/22/21:07:37,Flow: 274, IMEI: 864287039914179, Battery: 78.0
2021:01/22/21:07:37,Flow: 346, IMEI: 864287039914179, Battery: 79.0
2021:01/22/21:07:37,Flow: 280, IMEI: 864287039914179, Battery: 79.0
2021:01/22/21:08:08,Flow: 253, IMEI: 864287039914179, Battery: 78.0
2021:01/22/21:08:08,Flow: 272, IMEI: 864287039914179, Battery: 78.0
2021:01/22/21:08:08,Flow: 316, IMEI: 864287039914179, Battery: 78.0
2021:01/22/21:08:08,Flow: 299, IMEI: 864287039914179, Battery: 79.0
2021:01/22/21:08:08,Flow: 274, IMEI: 864287039914179, Battery: 79.0
2021:01/22/21:08:08,Flow: 251, IMEI: 864287039914179, Battery: 78.0
2021:01/22/21:08:08,Flow: 303, IMEI: 864287039914179, Battery: 78.0
2021:01/22/21:08:38,Flow: 327, IMEI: 864287039914179, Battery: 76.0
2021:01/22/21:08:38,Flow: 258, IMEI: 864287039914179, Battery: 78.0
2021:01/22/21:08:38,Flow: 278, IMEI: 864287039914179, Battery: 78.0
2021:01/22/21:08:38,Flow: 283, IMEI: 864287039914179, Battery: 78.0
2021:01/22/21:08:38,Flow: 348, IMEI: 864287039914179, Battery: 78.0
2021:01/22/21:08:38,Flow: 331, IMEI: 864287039914179, Battery: 78.0
2021:01/22/21:09:09,Flow: 285, IMEI: 864287039914179, Battery: 78.0
2021:01/22/21:09:09,Flow: 263, IMEI: 864287039914179, Battery: 78.0
2021:01/22/21:09:09,Flow: 315, IMEI: 864287039914179, Battery: 78.0
2021:01/22/21:09:09,Flow: 264, IMEI: 864287039914179, Battery: 79.0
2021:01/22/21:09:09,Flow: 313, IMEI: 864287039914179, Battery: 78.0
2021:01/22/21:09:09,Flow: 286, IMEI: 864287039914179, Battery: 78.0
2021:01/22/21:09:38,Flow: 275, IMEI: 864287039914179, Battery: 78.0
2021:01/22/21:09:38,Flow: 319, IMEI: 864287039914179, Battery: 78.0
2021:01/22/21:09:38,Flow: 265, IMEI: 864287039914179, Battery: 78.0
2021:01/22/21:09:38,Flow: 344, IMEI: 864287039914179, Battery: 78.0
2021:01/22/21:09:38,Flow: 279, IMEI: 864287039914179, Battery: 79.0
2021:01/22/21:09:38,Flow: 251, IMEI: 864287039914179, Battery: 78.0
2021:01/22/21:10:35,Flow: 257, IMEI: 864287039914179, Battery: 79.0
2021:01/22/21:10:35,Flow: 299, IMEI: 864287039914179, Battery: 79.0
2021:01/22/21:10:35,Flow: 323, IMEI: 864287039914179, Battery: 79.0
2021:01/22/21:10:35,Flow: 308, IMEI: 864287039914179, Battery: 78.0
2021:01/22/21:10:35,Flow: 280, IMEI: 864287039914179, Battery: 78.0
2021:01/22/21:10:35,Flow: 322, IMEI: 864287039914179, Battery: 79.0
2021:01/22/21:10:53,Flow: 294, IMEI: 864287039914179, Battery: 78.0
2021:01/22/21:10:53,Flow: 328, IMEI: 864287039914179, Battery: 77.0
2021:01/22/21:10:53,Flow: 273, IMEI: 864287039914179, Battery: 78.0
2021:01/22/21:10:53,Flow: 259, IMEI: 864287039914179, Battery: 78.0
2021:01/22/21:10:53,Flow: 290, IMEI: 864287039914179, Battery: 78.0
2021:01/22/21:10:53,Flow: 315, IMEI: 864287039914179, Battery: 78.0
2021:01/22/21:11:12,Flow: 342, IMEI: 864287039914179, Battery: 78.0
2021:01/22/21:11:12,Flow: 292, IMEI: 864287039914179, Battery: 78.0
2021:01/22/21:11:12,Flow: 337, IMEI: 864287039914179, Battery: 78.0
2021:01/22/21:11:12,Flow: 253, IMEI: 864287039914179, Battery: 78.0
2021:01/22/21:11:12,Flow: 277, IMEI: 864287039914179, Battery: 78.0
2021:01/22/21:11:12,Flow: 279, IMEI: 864287039914179, Battery: 78.0
2021:01/22/21:11:30,Flow: 290, IMEI: 864287039914179, Battery: 78.0
2021:01/22/21:11:30,Flow: 262, IMEI: 864287039914179, Battery: 78.0
2021:01/22/21:11:30,Flow: 253, IMEI: 864287039914179, Battery: 79.0
2021:01/22/21:11:30,Flow: 319, IMEI: 864287039914179, Battery: 78.0
2021:01/22/21:11:30,Flow: 259, IMEI: 864287039914179, Battery: 79.0
2021:01/22/21:11:30,Flow: 307, IMEI: 864287039914179, Battery: 78.0
2021:01/22/21:11:47,Flow: 310, IMEI: 864287039914179, Battery: 78.0
2021:01/22/21:11:47,Flow: 283, IMEI: 864287039914179, Battery: 78.0
2021:01/22/21:11:47,Flow: 349, IMEI: 864287039914179, Battery: 78.0
2021:01/22/21:11:47,Flow: 328, IMEI: 864287039914179, Battery: 78.0
2021:01/22/21:11:47,Flow: 266, IMEI: 864287039914179, Battery: 78.0
2021:01/22/21:11:47,Flow: 285, IMEI: 864287039914179, Battery: 78.0
2021:01/22/21:12:10,Flow: 347, IMEI: 864287039914179, Battery: 78.0
2021:01/22/21:12:10,Flow: 276, IMEI: 864287039914179, Battery: 78.0
2021:01/22/21:12:10,Flow: 262, IMEI: 864287039914179, Battery: 78.0
2021:01/22/21:12:10,Flow: 317, IMEI: 864287039914179, Battery: 78.0
2021:01/22/21:12:10,Flow: 260, IMEI: 864287039914179, Battery: 79.0
2021:01/22/21:12:24,Flow: 283, IMEI: 864287039914179, Battery: 78.0
2021:01/22/21:12:24,Flow: 329, IMEI: 864287039914179, Battery: 78.0
2021:01/22/21:12:24,Flow: 299, IMEI: 864287039914179, Battery: 77.0
2021:01/22/21:12:24,Flow: 329, IMEI: 864287039914179, Battery: 77.0
2021:01/22/21:12:24,Flow: 271, IMEI: 864287039914179, Battery: 78.0
2021:01/22/21:12:24,Flow: 317, IMEI: 864287039914179, Battery: 79.0
2021:01/22/21:12:24,Flow: 322, IMEI: 864287039914179, Battery: 78.0
2021:01/22/21:12:43,Flow: 343, IMEI: 864287039914179, Battery: 78.0
2021:01/22/21:12:43,Flow: 286, IMEI: 864287039914179, Battery: 78.0
2021:01/22/21:12:43,Flow: 335, IMEI: 864287039914179, Battery: 78.0
2021:01/22/21:12:43,Flow: 295, IMEI: 864287039914179, Battery: 78.0
2021:01/22/21:12:43,Flow: 278, IMEI: 864287039914179, Battery: 79.0
2021:01/22/21:12:43,Flow: 341, IMEI: 864287039914179, Battery: 79.0
2021:01/22/21:13:00,Flow: 344, IMEI: 864287039914179, Battery: 78.0
2021:01/22/21:13:00,Flow: 307, IMEI: 864287039914179, Battery: 78.0
2021:01/22/21:13:00,Flow: 251, IMEI: 864287039914179, Battery: 78.0
2021:01/22/21:13:00,Flow: 303, IMEI: 864287039914179, Battery: 78.0
2021:01/22/21:13:00,Flow: 258, IMEI: 864287039914179, Battery: 78.0
2021:01/22/21:13:00,Flow: 294, IMEI: 864287039914179, Battery: 78.0
2021:01/22/21:13:18,Flow: 318, IMEI: 864287039914179, Battery: 78.0
2021:01/22/21:13:18,Flow: 340, IMEI: 864287039914179, Battery: 77.0
2021:01/22/21:13:18,Flow: 274, IMEI: 864287039914179, Battery: 78.0
2021:01/22/21:13:18,Flow: 346, IMEI: 864287039914179, Battery: 79.0
2021:01/22/21:13:18,Flow: 280, IMEI: 864287039914179, Battery: 78.0
2021:01/22/21:13:18,Flow: 253, IMEI: 864287039914179, Battery: 78.0
2021:01/22/21:13:37,Flow: 272, IMEI: 864287039914179, Battery: 76.0
2021:01/22/21:13:37,Flow: 316, IMEI: 864287039914179, Battery: 78.0
2021:01/22/21:13:37,Flow: 299, IMEI: 864287039914179, Battery: 79.0
2021:01/22/21:13:37,Flow: 274, IMEI: 864287039914179, Battery: 79.0
2021:01/22/21:13:37,Flow: 251, IMEI: 864287039914179, Battery: 78.0
2021:01/22/21:13:37,Flow: 303, IMEI: 864287039914179, Battery: 78.0
2021:01/22/21:13:53,Flow: 327, IMEI: 864287039914179, Battery: 78.0
2021:01/22/21:13:53,Flow: 258, IMEI: 864287039914179, Battery: 78.0
2021:01/22/21:13:53,Flow: 278, IMEI: 864287039914179, Battery: 77.0
2021:01/22/21:13:53,Flow: 283, IMEI: 864287039914179, Battery: 79.0
2021:01/22/21:13:53,Flow: 348, IMEI: 864287039914179, Battery: 79.0
2021:01/22/21:14:12,Flow: 331, IMEI: 864287039914179, Battery: 78.0
2021:01/22/21:14:12,Flow: 285, IMEI: 864287039914179, Battery: 77.0
2021:01/22/21:14:12,Flow: 263, IMEI: 864287039914179, Battery: 76.0
2021:01/22/21:14:12,Flow: 315, IMEI: 864287039914179, Battery: 78.0
2021:01/22/21:14:12,Flow: 264, IMEI: 864287039914179, Battery: 78.0
2021:01/22/21:14:12,Flow: 313, IMEI: 864287039914179, Battery: 79.0
2021:01/22/21:14:12,Flow: 286, IMEI: 864287039914179, Battery: 79.0
2021:01/22/21:14:30,Flow: 275, IMEI: 864287039914179, Battery: 78.0
2021:01/22/21:14:30,Flow: 319, IMEI: 864287039914179, Battery: 78.0
2021:01/22/21:14:30,Flow: 265, IMEI: 864287039914179, Battery: 78.0
2021:01/22/21:14:30,Flow: 344, IMEI: 864287039914179, Battery: 78.0
2021:01/22/21:14:30,Flow: 279, IMEI: 864287039914179, Battery: 79.0
2021:01/22/21:30:42,Flow: 327, IMEI: 864287039914179, Battery: 93.0
2021:01/22/21:30:42,Flow: 258, IMEI: 864287039914179, Battery: 89.0
2021:01/22/21:30:42,Flow: 278, IMEI: 864287039914179, Battery: 94.0
2021:01/22/21:30:42,Flow: 283, IMEI: 864287039914179, Battery: 94.0
2021:01/22/21:30:42,Flow: 348, IMEI: 864287039914179, Battery: 94.0
2021:01/22/21:30:42,Flow: 331, IMEI: 864287039914179, Battery: 94.0
2021:01/22/21:30:45,Flow: 285, IMEI: 864287039914179, Battery: 91.0
2021:01/22/21:30:45,Flow: 263, IMEI: 864287039914179, Battery: 93.0
2021:01/22/21:30:45,Flow: 315, IMEI: 864287039914179, Battery: 94.0
2021:01/22/21:30:45,Flow: 264, IMEI: 864287039914179, Battery: 94.0
2021:01/22/21:30:45,Flow: 313, IMEI: 864287039914179, Battery: 94.0
2021:01/22/21:30:47,Flow: 286, IMEI: 864287039914179, Battery: 93.0
2021:01/22/21:30:47,Flow: 275, IMEI: 864287039914179, Battery: 91.0
2021:01/22/21:30:47,Flow: 319, IMEI: 864287039914179, Battery: 93.0
2021:01/22/21:30:47,Flow: 265, IMEI: 864287039914179, Battery: 93.0
2021:01/22/21:30:47,Flow: 344, IMEI: 864287039914179, Battery: 94.0
2021:01/22/21:30:47,Flow: 279, IMEI: 864287039914179, Battery: 94.0
2021:01/22/21:30:47,Flow: 251, IMEI: 864287039914179, Battery: 94.0
2021:01/22/21:31:00,Flow: 267, IMEI: 864287039914179, Battery: 93.0
2021:01/22/21:31:00,Flow: 345, IMEI: 864287039914179, Battery: 93.0
2021:01/22/21:31:00,Flow: 255, IMEI: 864287039914179, Battery: 94.0
2021:01/22/21:31:00,Flow: 254, IMEI: 864287039914179, Battery: 94.0
2021:01/22/21:31:00,Flow: 301, IMEI: 864287039914179, Battery: 94.0
2021:01/22/21:31:00,Flow: 348, IMEI: 864287039914179, Battery: 94.0
2021:01/22/21:31:17,Flow: 338, IMEI: 864287039914179, Battery: 93.0
2021:01/22/21:31:17,Flow: 273, IMEI: 864287039914179, Battery: 93.0
2021:01/22/21:31:17,Flow: 255, IMEI: 864287039914179, Battery: 94.0
2021:01/22/21:31:17,Flow: 332, IMEI: 864287039914179, Battery: 94.0
2021:01/22/21:31:17,Flow: 302, IMEI: 864287039914179, Battery: 94.0
2021:01/22/21:31:36,Flow: 316, IMEI: 864287039914179, Battery: 93.0
2021:01/22/21:31:36,Flow: 266, IMEI: 864287039914179, Battery: 91.0
2021:01/22/21:31:36,Flow: 287, IMEI: 864287039914179, Battery: 91.0
2021:01/22/21:31:36,Flow: 288, IMEI: 864287039914179, Battery: 94.0
2021:01/22/21:31:36,Flow: 294, IMEI: 864287039914179, Battery: 94.0
2021:01/22/21:31:36,Flow: 251, IMEI: 864287039914179, Battery: 94.0
2021:01/22/21:31:54,Flow: 347, IMEI: 864287039914179, Battery: 93.0
2021:01/22/21:31:54,Flow: 321, IMEI: 864287039914179, Battery: 90.0
2021:01/22/21:31:54,Flow: 278, IMEI: 864287039914179, Battery: 93.0
2021:01/22/21:31:54,Flow: 287, IMEI: 864287039914179, Battery: 93.0
2021:01/22/21:31:54,Flow: 308, IMEI: 864287039914179, Battery: 94.0
2021:01/22/21:31:54,Flow: 327, IMEI: 864287039914179, Battery: 94.0
2021:01/22/21:32:12,Flow: 347, IMEI: 864287039914179, Battery: 93.0
2021:01/22/21:32:12,Flow: 344, IMEI: 864287039914179, Battery: 94.0
2021:01/22/21:32:12,Flow: 254, IMEI: 864287039914179, Battery: 93.0
2021:01/22/21:32:12,Flow: 259, IMEI: 864287039914179, Battery: 94.0
2021:01/22/21:32:12,Flow: 281, IMEI: 864287039914179, Battery: 94.0
2021:01/22/21:32:12,Flow: 295, IMEI: 864287039914179, Battery: 94.0
2021:01/22/21:32:12,Flow: 325, IMEI: 864287039914179, Battery: 94.0
2021:01/22/21:32:29,Flow: 285, IMEI: 864287039914179, Battery: 93.0
2021:01/22/21:32:29,Flow: 348, IMEI: 864287039914179, Battery: 93.0
2021:01/22/21:32:29,Flow: 292, IMEI: 864287039914179, Battery: 94.0
2021:01/22/21:32:29,Flow: 349, IMEI: 864287039914179, Battery: 94.0
2021:01/22/21:32:29,Flow: 318, IMEI: 864287039914179, Battery: 94.0
2021:01/22/21:32:49,Flow: 262, IMEI: 864287039914179, Battery: 93.0
2021:01/22/21:32:49,Flow: 310, IMEI: 864287039914179, Battery: 93.0
2021:01/22/21:32:49,Flow: 307, IMEI: 864287039914179, Battery: 92.0
2021:01/22/21:32:49,Flow: 344, IMEI: 864287039914179, Battery: 94.0
2021:01/22/21:32:49,Flow: 258, IMEI: 864287039914179, Battery: 94.0
2021:01/22/21:32:49,Flow: 345, IMEI: 864287039914179, Battery: 94.0
2021:01/22/21:32:49,Flow: 318, IMEI: 864287039914179, Battery: 94.0
2021:01/22/21:33:06,Flow: 263, IMEI: 864287039914179, Battery: 92.0
2021:01/22/21:33:06,Flow: 280, IMEI: 864287039914179, Battery: 91.0
2021:01/22/21:33:06,Flow: 256, IMEI: 864287039914179, Battery: 94.0
2021:01/22/21:33:06,Flow: 312, IMEI: 864287039914179, Battery: 94.0
2021:01/22/21:33:06,Flow: 292, IMEI: 864287039914179, Battery: 94.0
2021:01/22/21:33:06,Flow: 315, IMEI: 864287039914179, Battery: 94.0
2021:01/22/21:33:26,Flow: 332, IMEI: 864287039914179, Battery: 93.0
2021:01/22/21:33:26,Flow: 302, IMEI: 864287039914179, Battery: 93.0
2021:01/22/21:33:26,Flow: 317, IMEI: 864287039914179, Battery: 94.0
2021:01/22/21:33:26,Flow: 271, IMEI: 864287039914179, Battery: 94.0
2021:01/22/21:33:26,Flow: 345, IMEI: 864287039914179, Battery: 94.0
2021:01/22/21:33:26,Flow: 262, IMEI: 864287039914179, Battery: 94.0
2021:01/22/21:33:42,Flow: 321, IMEI: 864287039914179, Battery: 93.0
2021:01/22/21:33:42,Flow: 251, IMEI: 864287039914179, Battery: 90.0
2021:01/22/21:33:42,Flow: 340, IMEI: 864287039914179, Battery: 92.0
2021:01/22/21:33:42,Flow: 281, IMEI: 864287039914179, Battery: 94.0
2021:01/22/21:33:42,Flow: 288, IMEI: 864287039914179, Battery: 94.0
2021:01/22/21:33:42,Flow: 307, IMEI: 864287039914179, Battery: 94.0
2021:01/22/21:34:01,Flow: 266, IMEI: 864287039914179, Battery: 90.0
2021:01/22/21:34:01,Flow: 340, IMEI: 864287039914179, Battery: 93.0
2021:01/22/21:34:01,Flow: 290, IMEI: 864287039914179, Battery: 94.0
